academia cursor	akatemian vahtimestari	academy janitor
academia plantagie	akatemian puutarhuri	academy gardener
accisskrifvare	aksiisikirjuri, aksiisiveron kerääjä	excise tax clerk
ackuschörska	kätilö	midwife
acteur, aktör	näyttelijä	actor
actuarien	arkistonhoitaja	archivist
adelsryttare	aatelinen ratsumies	noble cavalryman, knight
adjunctus, adjunkt	apu-, apulainen	assisting -, assistant -
adjunkt (präst)	apupappi, kappalainen	curate, chaplain
adjunctus archipraepositi	tuomiorovastin apulainen	cathedral dean's assistant
adjunctus pastoris	kirkkoherran apulainen	vicar's assistant
adjunctus praepositi	rovastin apulainen	dean's assistant
adjunctus sacellani	kappalaisen apulainen	chaplain's assistant, curate's assistant
adjunctus sacri ministerii	papiston virallinen apulainen, apulaispappi	assistant pastor
adjutant	upseerin tms. palvelija	adjutant
administrativ tjänsteman	hallinnollinen virkamies	official, civil servant
advokat	asianajaja	advocate, attorney-at-law, solicitor
advokatfiskal	kanneviskaali	prosecutor of the Court of Appeal
aedituus	lukkari	cantor
afdanken ryttare	viraltapantu ratsumies	discharged horseman
affärsbiträde	kauppa-apulainen	shop assistant
affärsman	kauppias, liikemies	businessman, merchant
afskedad, avskedad	virasta, palveluksesta eronnut	retired
agent	välittäjä	agent
agronom	maanviljelijä, agronomi	farmer, graduate of agricultural college
akademiker	akateemikko	academician
aktionär	osakas	partner, part owner, shareholder
aktor	virallinen syyttäjä	district attorney, the prosecuting officer of a district or district court
aktris	näyttelijätär	actress
aktuarie, actuar	aktuaari	registrar
alumnus	koululainen, kasvatuslapsi, suojatti	pupil, foster-child, ward
amanuens	apulainen	assistant, junior house officer
ambassadör	lähettiläs	ambassador
ambulatorska	kiertokoulunopettaja	teacher of ambulatory school
amiral	amiraali	admiral
amiralitetskapten	laivaston kapteeni	captain in the Navy
amma	imettäjä	wet nurse
anhängare	seuralainen	companion
apologist	käytännön tiedon opettaja	teacher of a school class learning the needs of practical life
apotekar, apothekar	apteekkari	chemist, pharmacist
apotheklärling	apteekkarioppilas	assistant pharmacist
arbetare	työläinen	labourer, worker
arbetsfogden	työnjohtaja	foreman
arbetsföreståndare	työnjohtaja, esimies	foreman, supervisor
arbetsgifvare	työnantaja	employer
arbetskarl	työmies	worker, working man
arbetsledare	työnjohtaja	foreman, supervisor
archidiaconus	arkkidiakoni, arkkiteini; tuomioseurakunnan ensimmäinen kappalainen	archdeacon, church official in charge of temporal and other affairs in a diocese, with powers delegated from the bishop.
archipraepositus	tuomiorovasti	cathedral dean, the lay judge of the Catherdral
arkitekt	arkkitehti	architect
